ClickBank Account_id,Nicho, Product Name/SKU,Quantidade,Valor,Product Type,Sales page,Checkout,Thanks Page,Drive,Shipping Profiles,Status
QuietTone,Zumbido,,,,,,,,https://drive.google.com/drive/folders/1S-clUoxUF2lO0ywmH0VtzVhm2O0IXdCP,,ShipOffers
,,,,,,,,,,,
DigestFlow,Intestino,,,,,,,,https://drive.google.com/drive/folders/1boIT3LqS12nic0OzBp8DRM9npjshvdoR,,ShipOffers
DigestFlow,Intestino,,,,,,,,https://drive.google.com/drive/folders/1boIT3LqS12nic0OzBp8DRM9npjshvdoR,,ShipOffers
DigestFlow,Intestino,,,,,,,,https://drive.google.com/drive/folders/1boIT3LqS12nic0OzBp8DRM9npjshvdoR,,ShipOffers
DigestFlow,Intestino,,,,,,,,https://drive.google.com/drive/folders/1boIT3LqS12nic0OzBp8DRM9npjshvdoR,,ShipOffers
DigestFlow,Intestino,,,,,,,,https://drive.google.com/drive/folders/1boIT3LqS12nic0OzBp8DRM9npjshvdoR,,ShipOffers
DigestFlow,Intestino,,,,,,,,https://drive.google.com/drive/folders/1boIT3LqS12nic0OzBp8DRM9npjshvdoR,,ShipOffers
,,,,,,,,,,,
ProstaFlow,Próstata,,,,,,,,https://drive.google.com/drive/folders/11is49EW-6Dya4HJfL-Dr2i0Rht4i_wiF,,ShipOffers
ProstaFlow,Próstata,,,,,,,,https://drive.google.com/drive/folders/11is49EW-6Dya4HJfL-Dr2i0Rht4i_wiF,,ShipOffers
ProstaFlow,Próstata,,,,,,,,https://drive.google.com/drive/folders/11is49EW-6Dya4HJfL-Dr2i0Rht4i_wiF,,ShipOffers
ProstaFlow,Próstata,,,,,,,,https://drive.google.com/drive/folders/11is49EW-6Dya4HJfL-Dr2i0Rht4i_wiF,,ShipOffers
ProstaFlow,Próstata,,,,,,,,https://drive.google.com/drive/folders/11is49EW-6Dya4HJfL-Dr2i0Rht4i_wiF,,ShipOffers
ProstaFlow,Próstata,,,,,,,,https://drive.google.com/drive/folders/11is49EW-6Dya4HJfL-Dr2i0Rht4i_wiF,,ShipOffers
,,,,,,,,,,,
